Exhaustivo,Aleatorio,Evolutivo
6.190036364,NaN,5.001319481
6.189745455,NaN,5.002285714
6.189724675,NaN,5.001651948
6.189257143,NaN,5.001812987
6.190109091,NaN,4.988228571
6.189044156,NaN,4.986337662
6.189563636,NaN,4.987688312
6.190171429,NaN,4.987137662
6.189828571,NaN,4.986867532
6.189137662,NaN,4.988051948
6.189516883,NaN,4.987085714
6.189761039,NaN,4.987298701
6.189979221,NaN,4.986805195
6.189184416,NaN,4.98641039
6.189838961,NaN,4.986285714
6.189667532,NaN,4.987090909
6.18985974,NaN,4.978181818
6.189709091,NaN,4.967885714
6.189880519,NaN,4.965802597
6.189527273,NaN,4.96998961
6.189303896,NaN,4.971298701
6.189085714,NaN,4.970753247
6.189148052,NaN,4.96998961
6.189397403,NaN,4.970171429
6.189225974,NaN,4.970976623
6.189812987,NaN,4.971127273
6.189719481,NaN,4.969480519
6.189792208,NaN,4.969911688
6.189267532,NaN,4.969838961
6.189890909,NaN,4.970509091
6.189054545,NaN,4.970535065
6.189438961,NaN,4.970857143
6.188602597,NaN,4.970311688
6.189054545,NaN,4.970483117
6.189236364,NaN,4.971532468
6.189148052,NaN,4.965994805
6.189719481,NaN,4.961968831
6.18987013,NaN,4.956706494
6.188550649,NaN,4.958935065
6.189257143,NaN,4.958737662
6.188732468,NaN,4.966020779
6.189288312,NaN,4.966638961
6.188633766,NaN,4.966971429
6.188872727,NaN,4.965220779
6.188067532,NaN,4.965018182
6.189475325,NaN,4.964374026
6.189267532,NaN,4.963142857
6.188935065,NaN,4.964275325
6.189096104,NaN,4.964716883
6.188768831,NaN,4.89841039
6.189387013,NaN,4.822322078
6.18998961,NaN,4.822337662
6.190285714,NaN,5.022275325
6.189049351,NaN,4.960877922
6.189241558,NaN,4.961283117
6.189922078,NaN,4.960394805
6.18972987,NaN,4.961090909
6.190083117,NaN,4.961148052
6.189911688,NaN,4.959994805
6.189963636,NaN,4.960903896
6.190181818,NaN,4.960742857
6.189901299,NaN,4.959937662
6.189568831,NaN,4.960005195
6.189807792,NaN,4.960748052
6.191298701,NaN,4.960384416
6.190483117,NaN,4.960223377
6.189948052,NaN,4.960093506
6.189818182,NaN,4.960223377
6.190477922,NaN,4.960524675
6.189974026,NaN,4.960415584
6.188846753,NaN,4.959418182
6.189724675,NaN,4.960233766
6.189511688,NaN,4.95974026
6.189958442,NaN,4.95972987
6.190431169,NaN,4.959267532
6.19014026,NaN,4.959314286
6.189620779,NaN,4.961823377
6.189267532,NaN,4.961724675
6.19,NaN,4.954607792
6.189355844,NaN,4.95505974
6.189246753,NaN,4.955574026
6.189480519,NaN,4.961371429
