Exhaustivo,Aleatorio,Evolutivo
0.8092363636,0.8092363636,NaN
0.7895948052,0.7895948052,NaN
0.7909818182,0.7909818182,NaN
0.7831324675,0.7831324675,NaN
0.7811896104,0.7811896104,NaN
0.7784571429,0.7784571429,NaN
0.827574026,0.827574026,NaN
0.8254961039,0.8254961039,NaN
0.8263168831,0.8263168831,NaN
0.8237246753,0.8237246753,NaN
0.8234233766,0.8234233766,NaN
0.7531584416,0.7531584416,NaN
0.7504207792,0.7504207792,NaN
0.7503896104,0.7503896104,NaN
0.7513922078,0.7513922078,NaN
0.7524103896,0.7524103896,NaN
0.7493662338,0.7493662338,NaN
0.7484103896,0.7484103896,NaN
0.7407012987,0.7407012987,NaN
0.7484103896,0.7484103896,NaN
0.7494181818,0.7494181818,NaN
0.750612987,0.750612987,NaN
0.7491896104,0.7491896104,NaN
0.7588467532,0.7588467532,NaN
0.7477090909,0.7477090909,NaN
0.7475636364,0.7475636364,NaN
0.7466025974,0.7466025974,NaN
0.7461142857,0.7461142857,NaN
0.7453194805,0.7453194805,NaN
0.7470285714,0.7470285714,NaN
0.7511896104,0.7511896104,NaN
0.7462701299,0.7462701299,NaN
0.7441090909,0.7441090909,NaN
0.7446597403,0.7446597403,NaN
0.7371272727,0.7371272727,NaN
0.7490909091,0.7490909091,NaN
0.7474909091,0.7474909091,NaN
0.7786909091,0.7786909091,NaN
0.8027532468,0.8027532468,NaN
0.7960883117,0.7960883117,NaN
0.7550233766,0.7550233766,NaN
0.792025974,0.792025974,NaN
0.7923948052,0.7923948052,NaN
0.7951896104,0.7951896104,NaN
0.8130753247,0.8130753247,NaN
0.8158961039,0.8158961039,NaN
0.8346493506,0.8346493506,NaN
0.832238961,0.832238961,NaN
0.8448831169,0.8448831169,NaN
0.841574026,0.841574026,NaN
0.8364675325,0.8364675325,NaN
0.8338909091,0.8338909091,NaN
0.8337766234,0.8337766234,NaN
0.8580207792,0.8580207792,NaN
0.9908103896,0.9908103896,NaN
0.9972363636,0.9972363636,NaN
0.9968415584,0.9968415584,NaN
0.9968623377,0.9968623377,NaN
0.9896831169,0.9896831169,NaN
0.9931896104,0.9931896104,NaN
0.9974025974,0.9974025974,NaN
0.9972519481,0.9972519481,NaN
0.9946493506,0.9946493506,NaN
0.9968675325,0.9968675325,NaN
0.9920935065,0.9920935065,NaN
0.9871792208,0.9871792208,NaN
0.9909714286,0.9909714286,NaN
0.9892831169,0.9892831169,NaN
0.9879948052,0.9879948052,NaN
0.9862441558,0.9862441558,NaN
0.9828883117,0.9828883117,NaN
0.9731688312,0.9731688312,NaN
0.9776779221,0.9776779221,NaN
0.9850233766,0.9850233766,NaN
0.9817454545,0.9817454545,NaN
0.9150597403,0.9150597403,NaN
0.8392883117,0.8392883117,NaN
0.8392987013,0.8392987013,NaN
0.8387948052,0.8387948052,NaN
0.8402597403,0.8402597403,NaN
1.021438961,1.021438961,NaN
0.9773454545,0.9773454545,NaN
0.9769038961,0.9769038961,NaN
0.9757246753,0.9757246753,NaN
0.9753922078,0.9753922078,NaN
0.9767220779,0.9767220779,NaN
0.9753922078,0.9753922078,NaN
0.9763688312,0.9763688312,NaN
0.9742545455,0.9742545455,NaN
0.9665818182,0.9665818182,NaN
0.9585506494,0.9585506494,NaN
0.9672415584,0.9672415584,NaN
0.9676363636,0.9676363636,NaN
0.9574493506,0.9574493506,NaN
0.9550441558,0.9550441558,NaN
0.9673350649,0.9673350649,NaN
0.9841038961,0.9841038961,NaN
0.9753922078,0.9753922078,NaN
0.991838961,0.991838961,NaN
0.9863636364,0.9863636364,NaN
0.9852363636,0.9852363636,NaN
0.9824987013,0.9824987013,NaN
0.9828207792,0.9828207792,NaN
0.9836467532,0.9836467532,NaN
0.9760103896,0.9760103896,NaN
0.9707428571,0.9707428571,NaN
0.9614805195,0.9614805195,NaN
0.9535532468,0.9535532468,NaN
0.9290597403,0.9290597403,NaN
0.9389350649,0.9389350649,NaN
0.9378753247,0.9378753247,NaN
0.9943480519,0.9943480519,NaN
1.011792208,1.011792208,NaN
1.009449351,1.009449351,NaN
1.011625974,1.011625974,NaN
1.010872727,1.010872727,NaN
1.014420779,1.014420779,NaN
1.013584416,1.013584416,NaN
