CPU(J),RAM(J),%CPU,RAM(kB)
3.51,0.42,100,3818380
3.55,0.41,99.9,3818228
3.56,0.43,100,3823836
3.55,0.42,99.9,3824312
3.53,0.41,100,3824568
3.58,0.44,99.9,3823220
3.67,0.43,100,3823064
3.52,0.42,100,3822568
3.58,0.42,100,3821620
3.53,0.41,100,3822492
3.54,0.41,100.1,3822832
3.56,0.48,100,3771776
3.58,0.45,100,3713188
3.55,0.44,99.3,3713200
3.60,0.45,100.1,3867152
3.54,0.42,100,3819876
3.52,0.48,100,3820188
3.50,0.41,99.9,3819504
3.51,0.41,99.9,3820040
3.50,0.42,100,3820084
3.56,0.41,100,3819196
3.61,0.42,100,3819896
3.62,0.43,99.9,3819772
3.59,0.40,77.8,3819152
3.19,0.35,76.3,3819204
3.18,0.37,76.7,3819776
3.17,0.37,77.1,3819496
3.23,0.38,76.5,3819372
3.16,0.37,79.6,3819272
3.14,0.37,76.6,3819372
3.20,0.36,76.7,3819604
3.20,0.36,76.9,3819520
3.24,0.38,76.7,3818752
3.17,0.37,76.7,3819380
3.22,0.38,77,3819000
3.17,0.37,80.3,3818992
3.19,0.38,77.1,3818636
3.17,0.36,76.7,3818672
3.15,0.36,77.4,3820604
3.19,0.37,79.5,3820528
3.20,0.38,76.4,3815048
3.29,0.41,27.4,3815396
2.10,0.33,29.2,3815792
2.10,0.33,27.4,3820256
2.09,0.32,27,3820208
2.07,0.33,27.5,3820380
2.09,0.33,26.1,3820220
2.12,0.33,26.4,3819764
3.54,0.41,100,3819620
3.48,0.41,100,3819852
3.43,0.40,99.9,3818960
3.44,0.39,100,3818496
3.44,0.41,100,3818604
3.45,0.39,100,3819396
3.44,0.39,100,3819292
3.53,0.42,100,3819160
3.43,0.40,100,3819040
3.45,0.41,99.9,3818948
3.41,0.41,99.9,3819096
3.49,0.41,100,3818868
3.49,0.40,100,3818844
3.52,0.40,100,3818932
3.50,0.41,100,3818380
3.52,0.41,100,3818520
3.40,0.39,99.9,3818628
3.40,0.39,99.9,3818792
3.41,0.40,100,3818576
3.41,0.38,100,3818644
3.42,0.38,100,3818200
3.40,0.38,100,3818792
3.47,0.40,100,3818420
3.44,0.40,100,3818916
3.42,0.39,100.1,3813096
3.47,0.38,100,3812888
3.41,0.39,100,3812368
3.42,0.39,100,3813000
3.49,0.39,100,3812616
3.46,0.39,100,3812796
3.49,0.39,100,3812980
3.48,0.40,100,3812988
3.38,0.40,100,3812492
3.46,0.40,99.3,3812368
3.51,0.40,100,3812724
3.45,0.38,100,3812020
3.43,0.40,100,3811968
3.46,0.38,100,3812004
3.43,0.38,100,3812212
3.41,0.38,100,3812384
3.42,0.39,100,3812300
3.42,0.40,100,3812424
3.47,0.40,100,3811804
3.42,0.39,100,3812044
3.50,0.40,100,3811672
