CPU(J),RAM(J),%CPU,RAM(kB)
3.30,0.35,100,4766156
3.23,0.33,100,4766076
3.31,0.32,100,4766068
3.22,0.35,100,4765672
3.28,0.39,100,4690676
3.24,0.43,100,4764220
3.21,0.36,99.9,4764908
3.31,0.32,100,4765308
3.37,0.35,100,4765988
3.43,0.36,99.9,4766332
3.23,0.31,100,4765732
3.22,0.31,100,4766364
3.23,0.33,100,4765664
3.22,0.32,100,4765904
3.22,0.32,100,4765820
3.22,0.31,100,4765644
3.20,0.33,100,4766068
3.23,0.33,100,4766076
3.23,0.33,100,4766328
3.37,0.37,100,4766544
3.44,0.37,99.9,4766316
3.30,0.34,100,4765816
3.21,0.38,100,4765652
3.21,0.32,100,4766076
3.30,0.38,100,4765684
3.22,0.32,100,4766100
3.20,0.34,100,4765720
3.31,0.36,99.9,4765504
3.23,0.31,99.9,4766024
3.27,0.32,100,4766000
3.32,0.37,100,4765588
3.39,0.33,100,4766140
3.29,0.36,100,4765684
3.31,0.33,100,4765868
3.31,0.36,100,4765392
3.21,0.32,100,4766148
3.22,0.31,100,4765560
3.34,0.36,100,4765736
3.22,0.33,100,4765908
3.21,0.32,100,4765244
3.26,0.31,100,4765736
3.42,0.36,100,4766116
3.37,0.35,99.9,4765668
3.32,0.36,99.9,4765628
3.23,0.32,100,4765528
3.30,0.38,100,4765676
3.37,0.33,100,4765884
3.30,0.34,0,4765732
3.28,0.41,100,4765744
3.22,0.32,100,4765704
3.20,0.35,100,4765784
3.25,0.34,99.9,4766100
3.43,0.36,100,4765696
3.39,0.43,100,4765380
3.21,0.34,100,4765868
3.23,0.32,100,4765720
3.28,0.40,100,4765884
3.29,0.32,99.9,4765364
3.21,0.31,100,4765100
3.37,0.38,100,4765260
3.28,0.32,100,4765320
3.21,0.35,100,4765320
3.29,0.38,100,4765180
3.48,0.34,100,4765048
3.41,0.37,100,4765236
3.21,0.34,99.9,4765228
3.22,0.31,99.9,4765336
3.35,0.38,100,4764980
3.22,0.32,100,4764824
3.24,0.33,0,4765020
3.21,0.33,100.1,4764704
3.25,0.32,99.9,4765008
3.23,0.32,100,4764804
3.25,0.35,100,4764940
3.45,0.34,100,4765312
3.39,0.35,100.1,4765328
3.27,0.44,100,4765404
3.27,0.33,100,4765192
3.22,0.32,100,4765200
3.21,0.33,100,4765160
