CPU(J),Exhaustivo,Aleatorio,Evolutivo
3.59,3.59,,3.52
3.55,3.55,,3.4
3.54,3.54,,3.4
3.58,3.58,,3.41
3.66,3.66,,3.41
3.53,3.53,,3.42
3.58,3.58,,3.4
3.55,3.55,,3.47
3.63,3.63,,3.44
3.58,3.58,,3.42
3.53,3.53,,3.47
3.59,3.59,,3.41
3.64,3.64,,3.42
3.52,3.52,,3.49
3.57,3.57,,3.46
3.56,3.56,,3.49
3.63,3.63,,3.48
3.54,3.54,,3.38
3.8,3.8,,3.46
3.61,3.61,,3.51
3.56,3.56,,3.45
3.6,3.6,,3.43
3.57,3.57,,3.46
3.7,3.7,,3.43
3.57,3.57,,3.41
3.55,3.55,,3.42
3.66,3.66,,3.42
3.56,3.56,,3.47
3.58,3.58,,3.42
3.63,3.63,,3.5
3.54,3.54,,3.44
3.53,3.53,,3.53
3.57,3.57,,3.4
3.6,3.6,,3.5
3.57,3.57,,3.49
3.72,3.72,,3.42
3.5,3.5,,3.43
3.55,3.55,,3.46
3.48,3.48,,3.4
3.57,3.57,,3.44
3.66,3.66,,3.44
3.56,3.56,,3.09
3.57,3.57,,3.45
3.51,3.51,,3.51
3.54,3.54,,3.47
3.66,3.66,,3.53
3.55,3.55,,3.45
3.58,3.58,,3.45
3.57,3.57,,3.52
3.6,3.6,,3.5
3.67,3.67,,3.46
3.61,3.61,,3.51
3.6,3.6,,3.51
3.57,3.57,,3.46
3.55,3.55,,3.43
3.54,3.54,,3.44
3.58,3.58,,3.44
3.55,3.55,,3.47
3.56,3.56,,3.46
3.56,3.56,,3.47
3.59,3.59,,3.46
3.56,3.56,,3.57
3.55,3.55,,3.47
3.54,3.54,,3.49
3.6,3.6,,3.44
3.6,3.6,,3.45
3.66,3.66,,3.42
3.55,3.55,,3.44
3.68,3.68,,3.42
3.64,3.64,,3.45
3.61,3.61,,3.41
3.53,3.53,,3.42
3.55,3.55,,3.44
3.6,3.6,,3.51
3.57,3.57,,3.46
3.55,3.55,,3.47
3.6,3.6,,3.49
3.58,3.58,,3.43
3.59,3.59,,3.42
3.56,3.56,,3.43
3.56,3.56,,3.41
3.55,3.55,,3.43
3.56,3.56,,3.46
3.61,3.61,,3.5
3.55,3.55,,3.44
3.58,3.58,,3.43
3.54,3.54,,3.5
3.56,3.56,,3.42
3.65,3.65,,3.43
3.61,3.61,,3.44
3.68,3.68,,3.49
3.54,3.54,,3.48
3.58,3.58,,3.5
3.59,3.59,,3.44
3.53,3.53,,3.52
3.67,3.67,,3.52
3.78,3.78,,3.47
3.57,3.57,,3.43
3.64,3.64,,3.42
3.55,3.55,,3.49
3.53,3.53,,3.48
3.54,3.54,,3.45
3.48,3.48,,3.44
3.43,3.43,,3.49
3.48,3.48,,3.47
3.48,3.48,,2.21
3.52,3.52,,3.46
3.6,3.6,,3.46
3.45,3.45,,3.44
3.44,3.44,,3.48
3.6,3.6,,3.47
3.51,3.51,,3.5
3.5,3.5,,3.43
3.6,3.6,,3.48
3.64,3.64,,3.45
3.45,3.45,,3.46
3.49,3.49,,3.52
3.51,3.51,,3.52
3.51,3.51,,3.51
3.48,3.48,,3.56
3.61,3.61,,3.49
3.51,3.51,,3.48
3.51,3.51,,3.57
3.51,3.51,,3.53
3.59,3.59,,3.56
3.47,3.47,,3.51
3.45,3.45,,3.49
3.52,3.52,,3.47
3.56,3.56,,3.41
3.48,3.48,,3.41
3.48,3.48,,3.45
3.55,3.55,,3.42
3.51,3.51,,3.42
3.59,3.59,,3.42
3.53,3.53,,3.46
3.53,3.53,,3.41
3.51,3.51,,3.51
3.56,3.56,,3.47
3.52,3.52,,3.45
